filename,true_label,predicted_label,confidence,top2_alternative,review_status
city\city (1).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
city\city (10).webp,Street Photography,Street Photography,0.9500,Portraits Photography,auto
city\city (11).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
city\city (12).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
city\city (13).webp,Street Photography,Street Photography,0.7943,Portraits Photography,review
city\city (14).webp,Street Photography,Street Photography,0.8061,Portraits Photography,auto
city\city (15).webp,Street Photography,Street Photography,0.9500,Portraits Photography,auto
city\city (16).webp,Street Photography,Portraits Photography,0.5807,Product Photography,review
city\city (17).webp,Street Photography,Portraits Photography,0.5121,Street Photography,skip
city\city (18).webp,Street Photography,Street Photography,0.9500,Portraits Photography,auto
city\city (19).webp,Street Photography,Street Photography,0.9458,Nature Photography,auto
city\city (2).webp,Street Photography,Street Photography,0.5217,Nature Photography,skip
city\city (20).webp,Street Photography,Street Photography,0.9500,Portraits Photography,auto
city\city (21).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
city\city (22).webp,Street Photography,Street Photography,0.7892,Portraits Photography,review
city\city (23).webp,Street Photography,Nature Photography,0.4979,Street Photography,skip
city\city (24).webp,Street Photography,Street Photography,0.7823,Nature Photography,review
city\city (25).webp,Street Photography,Street Photography,0.9500,Portraits Photography,auto
city\city (26).webp,Street Photography,Street Photography,0.6664,Product Photography,review
city\city (27).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
city\city (28).webp,Street Photography,Street Photography,0.7551,Nature Photography,review
city\city (29).webp,Street Photography,Street Photography,0.8791,Concert Photography,auto
city\city (3).webp,Street Photography,Street Photography,0.8681,Nature Photography,auto
city\city (30).webp,Street Photography,Street Photography,0.9176,Nature Photography,auto
city\city (31).webp,Street Photography,Street Photography,0.8695,Portraits Photography,auto
city\city (32).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
city\city (33).webp,Street Photography,Street Photography,0.8662,Nature Photography,auto
city\city (34).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
city\city (35).webp,Street Photography,Street Photography,0.8715,Nature Photography,auto
city\city (36).webp,Street Photography,Street Photography,0.4058,Nature Photography,skip
city\city (37).webp,Street Photography,Street Photography,0.9456,Product Photography,auto
city\city (38).webp,Street Photography,Street Photography,0.6088,Nature Photography,review
city\city (39).webp,Street Photography,Street Photography,0.9231,Portraits Photography,auto
city\city (4).webp,Street Photography,Street Photography,0.5601,Nature Photography,review
city\city (5).webp,Street Photography,Street Photography,0.9353,Nature Photography,auto
city\city (6).webp,Street Photography,Street Photography,0.6994,Nature Photography,review
city\city (7).webp,Street Photography,Street Photography,0.8438,Nature Photography,auto
city\city (8).webp,Street Photography,Street Photography,0.9466,Product Photography,auto
city\city (9).webp,Street Photography,Street Photography,0.9500,Nature Photography,auto
concert\concert (1).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (10).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (11).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (12).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (13).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (14).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (15).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (16).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (17).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (18).webp,Concert Photography,Concert Photography,0.9467,Portraits Photography,auto
concert\concert (19).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (2).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
concert\concert (20).webp,Concert Photography,Concert Photography,0.6977,Product Photography,review
concert\concert (21).webp,Concert Photography,Concert Photography,0.7049,Portraits Photography,review
concert\concert (22).webp,Concert Photography,Concert Photography,0.9500,Portraits Photography,auto
