filename,rating,final_genre,review_status,model_1st,model_1st_conf,model_2nd,model_2nd_conf,title,is_blurry,exposure,objects_detected,caption,ocr_text,evidence_log,user_genre,user_label
test2024-001.jpg,1,Nature Photography,review,Nature Photography,0.7734,Street Photography,0.1226,There is a view of the sky from an airplane window.,yes,normal,,there is a view of the sky from an airplane window,,{},,correct
test2024-002.jpg,2,Street Photography,auto,Street Photography,0.8236,Portrait Photography,0.1097,There are two towers that have a clock on each of them.,no,normal,,there are two towers that have a clock on each of them,,{},Architecture Photography,wrong
test2024-003.jpg,3,Street Photography,review,Street Photography,0.5184,Nature Photography,0.4801,There is a clock tower in the background of a city street.,no,normal,potted plant,there is a clock tower in the background of a city street,,"{""nature_boost"": 0.12, ""street_boost"": 0.12}",,correct
test2024-004.jpg,4,Street Photography,auto,Street Photography,0.9936,Portrait Photography,0.0056,There are two women sitting on a ledge looking at the city.,no,normal,person; person,there are two women sitting on a ledge looking at the city,,"{""street_boost"": 0.12}",,correct
test2024-005.jpg,4,Street Photography,auto,Street Photography,0.909,Portrait Photography,0.0706,There are two people standing in front of a large cathedral.,no,normal,person; person,there are two people standing in front of a large cathedral,,{},,correct
test2024-006.jpg,1,Street Photography,auto,Street Photography,0.9976,Portrait Photography,0.0016,There is a statue on top of a building with a cross on top.,yes,normal,,there is a statue on top of a building with a cross on top,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-007.jpg,2,Street Photography,auto,Street Photography,0.9996,Nature Photography,0.0002,There is a large building with a clock on the front of it.,no,normal,,there is a large building with a clock on the front of it,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-008.jpg,4,Street Photography,review,Street Photography,0.5034,Product Photography,0.4962,There are two clocks on the side of a brick building.,no,normal,clock; clock,there are two clocks on the side of a brick building,,"{""product_boost"": 0.12, ""street_boost"": 0.12}",,correct
test2024-009.jpg,4,Street Photography,auto,Street Photography,0.8256,Nature Photography,0.1737,There is a large arch over a street with cars and people.,no,normal,car; car; car; person,there is a large arch over a street with cars and people,,"{""nature_boost"": 0.12, ""street_boost"": 0.24}",,correct
test2024-010.jpg,2,Street Photography,review,Street Photography,0.6413,Nature Photography,0.3571,There are many palm trees lining the street in the city.,no,normal,,there are many palm trees lining the street in the city,,"{""nature_boost"": 0.12, ""street_boost"": 0.12}",,correct
test2024-011.jpg,2,Street Photography,auto,Street Photography,0.9893,Nature Photography,0.0071,There is a large building with a clock on top of it.,no,normal,,there is a large building with a clock on top of it,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-012.jpg,2,Street Photography,auto,Street Photography,0.9982,Portrait Photography,0.0016,There are people walking down a narrow alley way in the city.,no,under,person; person,there are people walking down a narrow alley way in the city,,"{""street_boost"": 0.12}",,correct
test2024-013.jpg,4,Street Photography,auto,Street Photography,0.9815,Portrait Photography,0.018,There is a woman standing on the sidewalk looking at her cell phone.,no,normal,person; person; person,there is a woman standing on the sidewalk looking at her cell phone,,"{""street_boost"": 0.12}",,correct
test2024-014.jpg,3,Street Photography,review,Street Photography,0.6242,Nature Photography,0.3604,There are many people standing on the street with their feet on the ground.,yes,normal,person; person,there are many people standing on the street with their feet on the ground,,"{""nature_boost"": 0.12, ""street_boost"": 0.12}",,correct
test2024-015.jpg,2,Street Photography,auto,Street Photography,0.9992,Portrait Photography,0.0004,There is a very tall building that has a crane on top.,no,normal,,there is a very tall building that has a crane on top,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-016.jpg,2,Street Photography,auto,Street Photography,0.9996,Portrait Photography,0.0003,There is a tall building with many windows and balconies on it.,no,normal,,there is a tall building with many windows and balconies on it,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-017.jpg,2,Street Photography,auto,Street Photography,0.9986,Portrait Photography,0.0008,There is a clock on the side of a building with statues on it.,no,normal,,there is a clock on the side of a building with statues on it,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-018.jpg,3,Street Photography,auto,Street Photography,0.9853,Portrait Photography,0.0126,There is a man sitting on the sidewalk in front of a brick building.,no,normal,person,there is a man sitting on the sidewalk in front of a brick building,,"{""street_boost"": 0.12}",,correct
test2024-019.jpg,3,Street Photography,auto,Street Photography,0.9997,Portrait Photography,0.0002,There is a statue of a woman holding a baby on a pedestal.,no,normal,car,there is a statue of a woman holding a baby on a pedestal,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-020.jpg,1,Product Photography,review,Product Photography,0.7698,Portrait Photography,0.1921,There is a close up of a gold necklace and earrings on display.,yes,normal,,there is a close up of a gold necklace and earrings on display,,{},,correct
test2024-021.jpg,1,Street Photography,auto,Street Photography,0.9967,Portrait Photography,0.0018,There is a plane that is flying in the sky over a building.,yes,normal,,there is a plane that is flying in the sky over a building,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-022.jpg,1,Street Photography,auto,Street Photography,0.9982,Nature Photography,0.0008,There is a clock on the top of a building with a sky background.,yes,normal,,there is a clock on the top of a building with a sky background,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-023.jpg,2,Street Photography,auto,Street Photography,0.9975,Portrait Photography,0.0018,There is a large building with a dome on top of it.,no,normal,,there is a large building with a dome on top of it,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-024.jpg,2,Street Photography,auto,Street Photography,0.9998,Portrait Photography,0.0002,There is a large clock tower in the middle of a city.,no,normal,,there is a large clock tower in the middle of a city,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-025.jpg,1,Street Photography,auto,Street Photography,0.998,Portrait Photography,0.0013,There is a clock on the top of a building with a sun in the background.,yes,normal,,there is a clock on the top of a building with a sun in the background,,"{""street_boost"": 0.12}",Architecture Photography,wrong
test2024-026.jpg,2,Street Photography,review,Street Photography,0.5965,Nature Photography,0.337,There is a clock tower in the distance of a park.,no,normal,,there is a clock tower in the distance of a park,,{},Architecture Photography,wrong
test2024-027.jpg,2,Nature Photography,auto,Nature Photography,0.9989,Portrait Photography,0.0006,There is a tower with a clock on it surrounded by flowers.,no,normal,,there is a tower with a clock on it surrounded by flowers,,"{""nature_boost"": 0.12}",Architecture Photography,wrong
test2024-028.jpg,3,Street Photography,review,Street Photography,0.5019,Nature Photography,0.4967,There is a black and white photo of a building with a clock.,no,normal,horse,there is a black and white photo of a building with a clock,,"{""nature_boost"": 0.12, ""street_boost"": 0.12}",Architecture Photography,wrong
test2024-029.jpg,4,Product Photography,auto,Product Photography,0.9738,Street Photography,0.0246,There are two women that are standing behind a counter with food.,no,normal,person; person,there are two women that are standing behind a counter with food,,"{""product_boost"": 0.12}",Street Photography,wrong
test2024-030.jpg,2,Nature Photography,auto,Nature Photography,0.972,Street Photography,0.0256,There is a man sitting on a bench under a tree.,no,normal,,there is a man sitting on a bench under a tree,,"{""nature_boost"": 0.12}",Architecture Photography,wrong
