filename,rating,final_genre,review_status,model_1st,model_1st_conf,model_2nd,model_2nd_conf,title
test2024-001.jpg,1,Nature Photography,review,Nature Photography,0.7736,Street Photography,0.1228,There is a view of the sky from an airplane window.
test2024-002.jpg,2,Street Photography,auto,Street Photography,0.8242,Portrait Photography,0.1091,There are two towers that have a clock on each of them.
test2024-003.jpg,3,Architecture Photography,title-inferred,Street Photography,0.5183,Nature Photography,0.4802,There is a clock tower in the background of a city street.
test2024-004.jpg,4,Street Photography,auto,Street Photography,0.9936,Portrait Photography,0.0055,There are two women sitting on a ledge looking at the city.
test2024-005.jpg,4,Street Photography,auto,Street Photography,0.9083,Portrait Photography,0.0711,There are two people standing in front of a large cathedral.
test2024-006.jpg,1,Street Photography,auto,Street Photography,0.9975,Portrait Photography,0.0017,There is a statue on top of a building with a cross on top.
test2024-007.jpg,2,Street Photography,auto,Street Photography,0.9996,Nature Photography,0.0002,There is a large building with a clock on the front of it.
test2024-008.jpg,4,Architecture Photography,title-inferred,Street Photography,0.5034,Product Photography,0.4962,There are two clocks on the side of a brick building.
test2024-009.jpg,4,Street Photography,auto,Street Photography,0.8256,Nature Photography,0.1738,There is a large arch over a street with cars and people.
test2024-010.jpg,2,Street Photography,review,Street Photography,0.6413,Nature Photography,0.3571,There are many palm trees lining the street in the city.
test2024-011.jpg,2,Street Photography,auto,Street Photography,0.9893,Nature Photography,0.0070,There is a large building with a clock on top of it.
test2024-012.jpg,2,Street Photography,auto,Street Photography,0.9982,Portrait Photography,0.0016,There are people walking down a narrow alley way in the city.
test2024-013.jpg,4,Street Photography,auto,Street Photography,0.9815,Portrait Photography,0.0180,There is a woman standing on the sidewalk looking at her cell phone.
test2024-014.jpg,3,Street Photography,review,Street Photography,0.6231,Nature Photography,0.3614,There are many people standing on the street with their feet on the ground.
test2024-015.jpg,2,Street Photography,auto,Street Photography,0.9992,Portrait Photography,0.0004,There is a very tall building that has a crane on top.
test2024-016.jpg,2,Street Photography,auto,Street Photography,0.9996,Portrait Photography,0.0003,There is a tall building with many windows and balconies on it.
test2024-017.jpg,2,Street Photography,auto,Street Photography,0.9986,Portrait Photography,0.0008,There is a clock on the side of a building with statues on it.
test2024-018.jpg,3,Street Photography,auto,Street Photography,0.9854,Portrait Photography,0.0126,There is a man sitting on the sidewalk in front of a brick building.
test2024-019.jpg,3,Street Photography,auto,Street Photography,0.9997,Portrait Photography,0.0002,There is a statue of a woman holding a baby on a pedestal.
test2024-020.jpg,1,Product Photography,review,Product Photography,0.7713,Portrait Photography,0.1907,There is a close up of a gold necklace and earrings on display.
test2024-021.jpg,1,Street Photography,auto,Street Photography,0.9967,Portrait Photography,0.0018,There is a plane that is flying in the sky over a building.
test2024-022.jpg,1,Street Photography,auto,Street Photography,0.9982,Nature Photography,0.0008,There is a clock on the top of a building with a sky background.
test2024-023.jpg,2,Street Photography,auto,Street Photography,0.9975,Portrait Photography,0.0018,There is a large building with a dome on top of it.
test2024-024.jpg,2,Street Photography,auto,Street Photography,0.9998,Portrait Photography,0.0002,There is a large clock tower in the middle of a city.
test2024-025.jpg,1,Street Photography,auto,Street Photography,0.9980,Portrait Photography,0.0013,There is a clock on the top of a building with a sun in the background.
test2024-026.jpg,2,Street Photography,review,Street Photography,0.5951,Nature Photography,0.3381,There is a clock tower in the distance of a park.
test2024-027.jpg,2,Nature Photography,auto,Nature Photography,0.9989,Portrait Photography,0.0006,There is a tower with a clock on it surrounded by flowers.
test2024-028.jpg,3,Architecture Photography,title-inferred,Street Photography,0.5019,Nature Photography,0.4968,There is a black and white photo of a building with a clock.
test2024-029.jpg,4,Product Photography,auto,Product Photography,0.9740,Street Photography,0.0244,There are two women that are standing behind a counter with food.
test2024-030.jpg,2,Nature Photography,auto,Nature Photography,0.9723,Street Photography,0.0254,There is a man sitting on a bench under a tree.
test2024-031.jpg,4,Street Photography,auto,Street Photography,0.9948,Music Photography,0.0032,Skateboarders in a skate park with a building in the background.
test2024-032.jpg,4,Street Photography,review,Street Photography,0.7803,Music Photography,0.1152,There is a man that is doing a trick on a skateboard.
test2024-033.jpg,4,Street Photography,review,Street Photography,0.5520,Nature Photography,0.4117,There is a shirtless man riding a skateboard on a city street.
test2024-034.jpg,4,Street Photography,auto,Street Photography,0.8001,Portrait Photography,0.1226,There is a shirtless man doing a trick on a skateboard.
test2024-035.jpg,4,Street Photography,review,Street Photography,0.7485,Portrait Photography,0.1964,There is a shirtless man doing a trick on a skateboard.
test2024-036.jpg,4,Street Photography,review,Street Photography,0.7909,Nature Photography,0.2066,People walking down a busy street with a child on a leash.
test2024-037.jpg,1,Architecture Photography,title-inferred,Street Photography,0.5246,Nature Photography,0.4750,Sunset over a city with a clock tower in the middle of it.
test2024-038.jpg,2,Architecture Photography,title-inferred,Street Photography,0.5169,Nature Photography,0.4825,Clock tower on top of building with city in background at sunset.
test2024-039.jpg,1,Architecture Photography,title-inferred,Street Photography,0.5280,Nature Photography,0.4715,Sunset over a city with a tall building with a sign on top.
test2024-040.jpg,2,Architecture Photography,title-inferred,Nature Photography,0.4472,Street Photography,0.4442,There is a tall tower with a clock on top of it.
test2024-041.jpg,4,Product Photography,auto,Product Photography,0.9998,Street Photography,0.0002,There is a display case filled with bottles of alcohol and oranges.
test2024-042.jpg,2,Street Photography,auto,Street Photography,0.8061,Nature Photography,0.1899,People walking across a street with a red bus in the background.
test2024-043.jpg,2,Street Photography,auto,Street Photography,0.9943,Portrait Photography,0.0045,There is a black and white photo of a building with a spiral staircase.
test2024-044.jpg,2,Street Photography,auto,Street Photography,0.9923,Nature Photography,0.0039,There is a very tall building with a lot of windows.
test2024-045.jpg,3,Product Photography,auto,Product Photography,0.9600,Street Photography,0.0372,There is a man that is standing behind a display of food.
test2024-046.jpg,4,Street Photography,auto,Street Photography,0.9792,Portrait Photography,0.0205,There is a large picture of a man on the side of a building.
test2024-047.jpg,1,Street Photography,review,Street Photography,0.6711,Nature Photography,0.3261,There are many people walking down the street at night.
test2024-048.jpg,4,Street Photography,auto,Street Photography,0.9997,Portrait Photography,0.0002,Cars are parked on the side of the road at night.
test2024-049.jpg,3,Street Photography,auto,Street Photography,0.9957,Portrait Photography,0.0034,There is a bird perched on the top of a brick building.
test2024-050.jpg,2,Architecture Photography,title-inferred,Street Photography,0.4422,Nature Photography,0.4230,There is a stone wall with a clock tower in the background.
test2024-051.jpg,2,Street Photography,auto,Street Photography,0.9919,Nature Photography,0.0041,There is a black and white photo of a building with a clock on it.
test2024-052.jpg,2,Street Photography,review,Street Photography,0.7566,Portrait Photography,0.1435,There is a tall tower with a clock on top of it.
test2024-053.jpg,2,Nature Photography,auto,Nature Photography,0.9958,Portrait Photography,0.0038,There is a seagull standing on a rock with its beak open.
test2024-054.jpg,1,Other Photography,title-inferred,Product Photography,0.2837,Nature Photography,0.2639,There is a bird that is sitting on top of a pole.
test2024-055.jpg,3,Nature Photography,review,Nature Photography,0.5596,Portrait Photography,0.2658,There are two ships that are in the water in the fog.
test2024-056.jpg,3,Street Photography,review,Street Photography,0.7059,Nature Photography,0.2912,There is a woman walking down a crowded street with a bag.
test2024-057.jpg,3,Product Photography,auto,Product Photography,0.9768,Street Photography,0.0180,There are many people sitting at a table in a restaurant.
test2024-058.jpg,1,Nature Photography,auto,Nature Photography,0.9406,Portrait Photography,0.0540,There is a sea horse that is swimming in the water.
test2024-059.jpg,2,Product Photography,auto,Product Photography,0.9995,Nature Photography,0.0004,There is a black and white photo of a shark swimming in the water.
test2024-060.jpg,2,Nature Photography,auto,Nature Photography,0.9999,Portrait Photography,0.0000,There is a manta ray swimming in the water in a tank.
test2024-061.jpg,1,Portrait Photography,review,Portrait Photography,0.5592,Nature Photography,0.3736,There is a white axamant with pink hair on it ' s head.
test2024-062.jpg,1,Nature Photography,auto,Nature Photography,0.8336,Portrait Photography,0.0924,There is a sea horse that is swimming in the water.
test2024-063.jpg,2,Nature Photography,auto,Nature Photography,0.9995,Portrait Photography,0.0004,There is a red fish that is swimming in the water.
test2024-064.jpg,1,Nature Photography,auto,Nature Photography,0.9978,Portrait Photography,0.0019,There is a green and yellow bird sitting on a tree branch.
test2024-065.jpg,2,Street Photography,auto,Street Photography,0.9971,Portrait Photography,0.0017,There is a very tall building with a clock on it.
test2024-066.jpg,3,Street Photography,auto,Street Photography,0.9701,Portrait Photography,0.0292,There is a small child standing on the sidewalk in front of a group of people.
test2024-067.jpg,1,Street Photography,auto,Street Photography,0.9977,Portrait Photography,0.0017,There is a bird that is sitting on a railing in front of a building.
test2024-068.jpg,2,Street Photography,auto,Street Photography,0.9004,Music Photography,0.0757,There is a picture of a building that has a painting on it.
test2024-069.jpg,2,Street Photography,auto,Street Photography,0.9989,Portrait Photography,0.0005,There is a very tall building with a clock on the top.
test2024-070.jpg,1,Street Photography,auto,Street Photography,0.8660,Portrait Photography,0.0641,There is a long hallway with many columns and a stone wall.
test2024-071.jpg,4,Street Photography,auto,Street Photography,0.9908,Music Photography,0.0045,There is a large building with a clock on top of it.
test2024-072.jpg,1,Street Photography,auto,Street Photography,0.9908,Portrait Photography,0.0077,There is a reflection of a tower in the window of a building.
test2024-073.jpg,4,Street Photography,auto,Street Photography,0.9945,Portrait Photography,0.0037,There is a fountain in front of a large building with statues.
test2024-074.jpg,3,Street Photography,auto,Street Photography,0.9767,Portrait Photography,0.0223,Woman in red dress walking down a sidewalk with a cell phone.
test2024-075.jpg,1,Portrait Photography,review,Portrait Photography,0.6419,Street Photography,0.2850,Black and white photograph of a window with bars in it.
test2024-076.jpg,2,Street Photography,title-inferred,Street Photography,0.4175,Portrait Photography,0.3342,There is a wall with blue and white designs on it.
test2024-077.jpg,2,Street Photography,title-inferred,Portrait Photography,0.3289,Street Photography,0.2562,There is a wall with a decorative design on it.
test2024-078.jpg,2,Street Photography,auto,Street Photography,0.9988,Nature Photography,0.0010,There is a view of a city from the top of a hill.
test2024-079.jpg,2,Street Photography,auto,Street Photography,0.9758,Nature Photography,0.0218,There is a man that is walking down the sidewalk between the hedges.
