source_path,relative_input_path,filename,rating,final_genre,review_status,model_1st,model_1st_conf,model_2nd,model_2nd_conf,title,is_blurry,exposure,objects_detected,caption,ocr_text,evidence_log
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250115_165025.jpg,20250115_165025.jpg,20250115_165025.jpg,3,Branding & Portrait,review,Branding & Portrait,0.5553,Street Documentary,0.4090,There is a woman that is standing on a balcony talking on a cell phone.,no,normal,person,there is a woman that is standing on a balcony talking on a cell phone,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250115_170810.jpg,20250115_170810.jpg,20250115_170810.jpg,2,Branding & Portrait,review,Branding & Portrait,0.7661,Street Documentary,0.2128,There is a woman that is standing in a room with wood floors.,yes,normal,person,there is a woman that is standing in a room with wood floors,,{}
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250118_074018.jpg,20250118_074018.jpg,20250118_074018.jpg,3,Nature & Landscape,auto,Nature & Landscape,0.9962,Branding & Portrait,0.0028,There are two people that are sitting on the beach watching the sun.,yes,normal,person; person,there are two people that are sitting on the beach watching the sun,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250118_091144.jpg,20250118_091144.jpg,20250118_091144.jpg,3,Travel & Architecture,auto,Travel & Architecture,0.9820,Branding & Portrait,0.0123,There is a woman that is standing in front of a statue.,no,normal,person,there is a woman that is standing in front of a statue,,"{""architecture_boost"": 0.09, ""street_demote_architecture"": 8.227696162066422e-05}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250403_180513.jpg,20250403_180513.jpg,20250403_180513.jpg,3,Travel & Architecture,auto,Travel & Architecture,0.9896,Branding & Portrait,0.0082,There is a man that is looking out the window of a bus.,no,normal,bus,there is a man that is looking out the window of a bus,,"{""street_boost"": 0.12, ""architecture_boost"": 0.09, ""street_demote_architecture"": 0.13696291969468197}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250406_150902.jpg,20250406_150902.jpg,20250406_150902.jpg,3,Street Documentary,review,Street Documentary,0.7688,Other Photography,0.2285,There is a yellow car that is parked on the side of the road.,no,normal,car,there is a yellow car that is parked on the side of the road,,"{""street_boost"": 0.24, ""other_boost"": 0.072, ""nature_demote_other"": 5.101062348937072e-05, ""street_requires_human_context"": true}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250414_185839.jpg,20250414_185839.jpg,20250414_185839.jpg,2,Nature & Landscape,auto,Nature & Landscape,0.9610,Branding & Portrait,0.0283,There is a man holding a fishing pole on the beach at sunset.,yes,normal,person,there is a man holding a fishing pole on the beach at sunset,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250414_191548.jpg,20250414_191548.jpg,20250414_191548.jpg,1,Nature & Landscape,auto,Nature & Landscape,0.9993,Branding & Portrait,0.0003,Sunset over the ocean with a lone bird flying in the distance.,yes,under,,sunset over the ocean with a lone bird flying in the distance,,"{""nature_boost"": 0.12}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250426_181400.jpg,20250426_181400.jpg,20250426_181400.jpg,3,Travel & Architecture,auto,Travel & Architecture,0.9879,Nature & Landscape,0.0056,There is a carousel in the middle of a park with trees and buildings.,no,normal,kite,there is a carousel in the middle of a park with trees and buildings,,"{""architecture_boost"": 0.09, ""street_demote_architecture"": 0.00029445195953788544}"
/Users/javierrangel/Pictures/Lightroom Saved Photos/export/20250426_182552.jpg,20250426_182552.jpg,20250426_182552.jpg,2,Street Documentary,review,Street Documentary,0.9865,Travel & Architecture,0.0091,There is a merry go round with many lights on it.,no,under,bench; bench; bench,there is a merry go round with many lights on it,,"{""street_boost"": 0.12, ""street_requires_human_context"": true}"
