filename,rating,final_genre,review_status,model_1st,model_1st_conf,model_2nd,model_2nd_conf,title,is_blurry,exposure,objects_detected,caption,ocr_text,evidence_log,user_genre,user_label
test2024-001.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9865,Nature & Landscape,0.0131,There is a view of the sky from an airplane window.,yes,normal,,there is a view of the sky from an airplane window,,"{""architecture_boost"": 0.09, ""street_demote_architecture"": 1.8080075581868489e-06}",Nature & Landscape,wrong
test2024-002.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.9996,Events & Music,0.0002,There are two towers that have a clock on each of them.,no,normal,,there are two towers that have a clock on each of them,,"{""architecture_boost"": 0.18, ""street_demote_architecture"": 1.5656153361002605e-05}",,correct
test2024-003.jpg,3,Travel & Architecture,review,Travel & Architecture,0.7998,Nature & Landscape,0.1996,There is a clock tower in the background of a city street.,no,normal,potted plant,there is a clock tower in the background of a city street,,"{""nature_boost"": 0.12, ""street_boost"": 0.12, ""architecture_boost"": 0.27, ""street_demote_architecture"": 0.12095597902933757}",,correct
test2024-004.jpg,4,Street Documentary,auto,Street Documentary,0.9799,Travel & Architecture,0.0115,There are two women sitting on a ledge looking at the city.,no,normal,person; person,there are two women sitting on a ledge looking at the city,,"{""street_boost"": 0.12}",,correct
test2024-005.jpg,4,Travel & Architecture,auto,Travel & Architecture,0.9472,Street Documentary,0.0384,There are two people standing in front of a large cathedral.,no,normal,person; person,there are two people standing in front of a large cathedral,,"{""architecture_boost"": 0.09}",,correct
test2024-006.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9992,Branding & Portrait,0.0004,There is a statue on top of a building with a cross on top.,yes,normal,,there is a statue on top of a building with a cross on top,,"{""street_boost"": 0.12, ""architecture_boost"": 0.18, ""street_demote_architecture"": 0.12012640158335368}",,correct
test2024-007.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.9999,Nature & Landscape,0.0001,There is a large building with a clock on the front of it.,no,normal,,there is a large building with a clock on the front of it,,"{""street_boost"": 0.12, ""architecture_boost"": 0.18, ""street_demote_architecture"": 0.12000226497650146}",,correct
test2024-008.jpg,4,Travel & Architecture,auto,Travel & Architecture,0.9997,Branding & Portrait,0.0001,There are two clocks on the side of a brick building.,no,normal,clock; clock,there are two clocks on the side of a brick building,,"{""street_boost"": 0.12, ""architecture_boost"": 0.3, ""street_demote_architecture"": 0.12013637542724609}",,correct
test2024-009.jpg,4,Street Documentary,title-inferred,Street Documentary,0.488,Travel & Architecture,0.289,There is a large arch over a street with cars and people.,no,normal,car; car; car; person,there is a large arch over a street with cars and people,,"{""nature_boost"": 0.12, ""street_boost"": 0.24, ""title_fallback"": ""There is a large arch over a street with cars and people.""}",,correct
test2024-010.jpg,2,Street Documentary,review,Street Documentary,0.395,Nature & Landscape,0.3811,There are many palm trees lining the street in the city.,no,normal,,there are many palm trees lining the street in the city,,"{""nature_boost"": 0.12, ""street_boost"": 0.12, ""title_fallback"": ""There are many palm trees lining the street in the city."", ""street_requires_human_context"": true}",,correct
test2024-011.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.9947,Nature & Landscape,0.0041,There is a large building with a clock on top of it.,no,normal,,there is a large building with a clock on top of it,,"{""street_boost"": 0.12, ""architecture_boost"": 0.18, ""street_demote_architecture"": 0.1226712417602539}",,correct
test2024-012.jpg,2,Street Documentary,auto,Street Documentary,0.9796,Travel & Architecture,0.0182,There are people walking down a narrow alley way in the city.,no,under,person; person,there are people walking down a narrow alley way in the city,,"{""street_boost"": 0.12}",,correct
test2024-013.jpg,4,Street Documentary,auto,Street Documentary,0.98,Branding & Portrait,0.0137,There is a woman standing on the sidewalk looking at her cell phone.,no,normal,person; person; person,there is a woman standing on the sidewalk looking at her cell phone,,"{""street_boost"": 0.12}",,correct
test2024-014.jpg,3,Street Documentary,review,Street Documentary,0.6923,Nature & Landscape,0.2991,There are many people standing on the street with their feet on the ground.,yes,normal,person; person,there are many people standing on the street with their feet on the ground,,"{""nature_boost"": 0.12, ""street_boost"": 0.12}",,correct
test2024-015.jpg,2,Travel & Architecture,review,Travel & Architecture,0.788,Other Photography,0.2118,There is a very tall building that has a crane on top.,no,normal,,there is a very tall building that has a crane on top,,"{""street_boost"": 0.12, ""architecture_boost"": 0.09, ""other_boost"": 0.072, ""street_demote_architecture"": 0.12002692143122355, ""nature_demote_other"": 3.9418538411458336e-05}",,correct
test2024-016.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.9998,Branding & Portrait,0.0001,There is a tall building with many windows and balconies on it.,no,normal,,there is a tall building with many windows and balconies on it,,"{""street_boost"": 0.12, ""architecture_boost"": 0.18, ""street_demote_architecture"": 0.12009671847025553}",,correct
test2024-017.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.9997,Nature & Landscape,0.0001,There is a clock on the side of a building with statues on it.,no,normal,,there is a clock on the side of a building with statues on it,,"{""street_boost"": 0.12, ""architecture_boost"": 0.27, ""street_demote_architecture"": 0.12004943211873371}",,correct
test2024-018.jpg,3,Street Documentary,review,Street Documentary,0.7619,Travel & Architecture,0.2223,There is a man sitting on the sidewalk in front of a brick building.,no,normal,person,there is a man sitting on the sidewalk in front of a brick building,,"{""street_boost"": 0.12, ""architecture_boost"": 0.09}",,correct
test2024-019.jpg,3,Travel & Architecture,auto,Travel & Architecture,0.9997,Events & Music,0.0002,There is a statue of a woman holding a baby on a pedestal.,no,normal,car,there is a statue of a woman holding a baby on a pedestal,,"{""street_boost"": 0.12, ""architecture_boost"": 0.09, ""street_demote_architecture"": 0.12031526883443196}",,correct
test2024-020.jpg,1,Food & Product,auto,Food & Product,0.9946,Events & Music,0.0046,There is a close up of a gold necklace and earrings on display.,yes,normal,,there is a close up of a gold necklace and earrings on display,,"{""portrait_demote_product_jewelry"": 0.0012227694193522136}",,correct
test2024-021.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9974,Nature & Landscape,0.001,There is a plane that is flying in the sky over a building.,yes,normal,,there is a plane that is flying in the sky over a building,,"{""street_boost"": 0.12, ""architecture_boost"": 0.09, ""street_demote_architecture"": 0.12044083595275878}",,correct
test2024-022.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9993,Nature & Landscape,0.0003,There is a clock on the top of a building with a sky background.,yes,normal,,there is a clock on the top of a building with a sky background,,"{""street_boost"": 0.12, ""architecture_boost"": 0.18, ""street_demote_architecture"": 0.12004820028940837}",,correct
