source_path,relative_input_path,filename,rating,final_genre,review_status,model_1st,model_1st_conf,model_2nd,model_2nd_conf,title,is_blurry,exposure,objects_detected,caption,ocr_text,evidence_log
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-001.jpg,test2024-001.jpg,test2024-001.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9865,Nature & Landscape,0.0131,There is a view of the sky from an airplane window.,yes,normal,,there is a view of the sky from an airplane window,,"{""architecture_boost"": 0.09, ""street_demote_architecture"": 1.8080075581868489e-06}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-002.jpg,test2024-002.jpg,test2024-002.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.9996,Events & Music,0.0002,There are two towers that have a clock on each of them.,no,normal,,there are two towers that have a clock on each of them,,"{""architecture_boost"": 0.18, ""street_demote_architecture"": 1.5656153361002605e-05}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-003.jpg,test2024-003.jpg,test2024-003.jpg,3,Travel & Architecture,auto,Travel & Architecture,0.9985,Nature & Landscape,0.0008,There is a clock tower in the background of a city street.,no,normal,potted plant,there is a clock tower in the background of a city street,,"{""street_boost"": 0.12, ""architecture_boost"": 0.27, ""street_demote_architecture"": 0.12095597902933757}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-004.jpg,test2024-004.jpg,test2024-004.jpg,4,Street Documentary,auto,Street Documentary,0.9799,Travel & Architecture,0.0115,There are two women sitting on a ledge looking at the city.,no,normal,person; person,there are two women sitting on a ledge looking at the city,,"{""street_boost"": 0.12}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-005.jpg,test2024-005.jpg,test2024-005.jpg,4,Travel & Architecture,auto,Travel & Architecture,0.9472,Street Documentary,0.0384,There are two people standing in front of a large cathedral.,no,normal,person; person,there are two people standing in front of a large cathedral,,"{""architecture_boost"": 0.09}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-006.jpg,test2024-006.jpg,test2024-006.jpg,1,Travel & Architecture,auto,Travel & Architecture,0.9992,Branding & Portrait,0.0004,There is a statue on top of a building with a cross on top.,yes,normal,,there is a statue on top of a building with a cross on top,,"{""street_boost"": 0.12, ""architecture_boost"": 0.18, ""street_demote_architecture"": 0.12012640158335368}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-007.jpg,test2024-007.jpg,test2024-007.jpg,2,Travel & Architecture,auto,Travel & Architecture,0.9999,Nature & Landscape,0.0001,There is a large building with a clock on the front of it.,no,normal,,there is a large building with a clock on the front of it,,"{""street_boost"": 0.12, ""architecture_boost"": 0.18, ""street_demote_architecture"": 0.12000226497650146}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-008.jpg,test2024-008.jpg,test2024-008.jpg,4,Travel & Architecture,auto,Travel & Architecture,0.9996,Branding & Portrait,0.0001,There are two clocks on the side of a brick building.,no,normal,clock; clock,there are two clocks on the side of a brick building,,"{""street_boost"": 0.12, ""architecture_boost"": 0.21, ""street_demote_architecture"": 0.12013637542724609}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-009.jpg,test2024-009.jpg,test2024-009.jpg,4,Street Documentary,review,Street Documentary,0.6270,Travel & Architecture,0.3713,There is a large arch over a street with cars and people.,no,normal,car; car; car; person,there is a large arch over a street with cars and people,,"{""street_boost"": 0.24}"
F:\Disco2 PORTFOLIO\WebSIte\lr\test2024-010.jpg,test2024-010.jpg,test2024-010.jpg,2,Street Documentary,review,Street Documentary,0.6260,Travel & Architecture,0.3523,There are many palm trees lining the street in the city.,no,normal,,there are many palm trees lining the street in the city,,"{""street_boost"": 0.12, ""street_requires_human_context"": true}"
